study,sampleSize,networkOne,networkTwo
BenzaitUnpublished_quest_ERQ_Reappraisal_resliced.nii,17,-0.2792365,-0.6175116
Brehl2020_quest_ERQ_resliced.nii,242,0.5760432,-0.3635859
Burghart+SchmidtUnpublished_quest_ERQ_resliced.nii,31,0.5071137,0.8436815
Diers2021_quest_ERQ_resliced.nii,39,-0.0972181,-0.8396948
Doerfel2014a_distancing_quest_ERQ_resliced.nii,16,-0.413756,0.1433096
Doerfel2014b_reinterpretation_quest_ERQ_resliced.nii,19,-0.264376,0.02167651
Gaebler2014_quest_ERQ_resliced.nii,23,-0.03183533,0.6112121
GaertnerDiersUnpublished_quest_ERQ_resliced.nii,37,-0.5293029,-0.3933986
Gianaros2020-AHAB-II_erq_quest_resliced.nii,163,0.3623522,-0.1883629
Gianaros2020-PIP_erq_quest_resliced.nii,176,-0.6074643,-0.7081941
Glosemeyer2020_quest_ERQtotal_resliced.nii,15,-1.091541,-0.5052608
Guendelman&DziobekUnpublished_quest_CERQ_resliced.nii,55,-0.03684998,-0.180782
HofhanselUnpublished_quest_ERQreapp_resliced.nii,16,-0.05837926,-0.06541714
HunekeUnpublished_quest_ERQ_resliced.nii,18,-0.02735861,-0.6148769
Jentsch2019_quest_ERQ_resliced.nii,30,-0.5374555,-0.3349807
KimUnpublished_quest_ERQ_resliced.nii,33,-0.008511923,0.174135
LaBarUnpublished_quest_ERQ_resliced.nii,53,-0.05024406,-0.3005064
Morawetz2016a_quest_ERQ_resliced.nii,23,0.037048,-0.05368644
Morawetz2019_quest_ERQ_resliced.nii,29,-0.106456,-0.08494544
Morawetz2020_quest_ERQ_resliced.nii,35,0.02360744,-0.03816533
Morawetz2021_quest_ERQ_resliced.nii,37,0.157446,0.2095569
MuellerPinzlerUnpublished_quest_ERQ_resliced.nii,15,-0.3460506,-0.9082007
MulejBratec2015_quest_ERQ_resliced.nii,20,0.3874682,0.2427354
NetaUnpublished_quest_ERQ_resliced.nii,110,1.047753,0.3450948
Paschke2016_quest_ERQ_resliced.nii,115,-0.09109781,0.3370145
PowersUnpublished_quest_ERQ_resliced.nii,40,0.1186802,0.3581471
Rehbein2021a_quest_ERQ_resliced.nii,15,0.4584871,0.1715169
Rehbein2021b_quest_ERQ_resliced.nii,16,-0.6612945,-1.17913
Sandner2021_quest_CERQ_resliced.nii,38,-1.104356,-1.17392
SidorenkoUnpublished_quest_ERQ_resliced.nii,139,-0.7176971,-0.4213919
SokolowskiUnpublished_quest_CERQ_pos_reapp_resliced.nii,83,0.4155726,0.02470053
Steward2021_quest_ERQ_resliced.nii,92,0.09706878,0.2599347
VanReekum2021_quest_CERQ_resliced.nii,59,-0.4387519,-0.7775567
VanReekumUnpublished_quest_CERQ_resliced.nii,19,0.11354,-0.6121122
WessaUnpublished_ERQ_resliced_quest.nii,89,0.7915729,-0.8657382
MarinMorales2021_quest_resliced.nii,29,0.7956832,1.127483
MinUnpublished_quest_resliced.nii,105,-0.07919878,-0.7571625
