study,sampleSize,networkOne,networkTwo
Brehl2020_rating_resliced.nii,242,0.9361704,-1.21069
Burghart+SchmidtUnpublished_rating_resliced.nii,31,0.3285355,-0.02076235
Gaebler2014_rating_resliced.nii,23,-0.7974381,-1.402071
Gianaros2020-AHAB-II_rating_resliced.nii,163,-0.4550034,0.8249622
Gianaros2020-PIP_rating_resliced.nii,176,-1.207318,0.9131956
Glosemeyer2020_rating_resliced.nii,15,-0.5330118,0.211995
Guendelman&DziobekUnpublished_rating_resliced.nii,55,-0.3460262,-0.5988464
HunekeUnpublished_rating_resliced.nii,18,0.7650001,-0.8118959
Jentsch2019_rating_resliced.nii,30,0.003380455,0.7090017
KimUnpublished_rating_resliced.nii,40,0.3184379,0.1290444
LaBarUnpublished_rating_resliced.nii,53,-0.2444157,0.4138365
MarinMorales2021_rating_resliced.nii,29,-0.2524941,0.1928757
MinUnpublished_rating_resliced.nii,105,0.8056433,-0.1691465
Morawetz2016a_rating_resliced.nii,23,0.2040607,-0.1114234
Morawetz2019_rating_resliced.nii,29,-0.2837752,-0.1153864
Morawetz2020_rating_resliced.nii,35,-0.001490616,0.001784712
Morawetz2021_rating_resliced.nii,37,0.004006482,-0.00428999
MuellerPinzlerUnpublished_rating_resliced.nii,15,0.1231324,0.5934971
MulejBratec2015_rating_resliced.nii,20,0.08525446,-0.09739022
NetaUnpublished_rating_resliced.nii,110,-0.8861684,0.8549079
Paschke2016_rating_resliced.nii,115,0.06721579,0.08008786
PowersUnpublished_rating_resliced.nii,40,-0.4101074,0.2614795
Rehbein2021a_rating_resliced.nii,15,-0.3097109,0.5566642
Rehbein2021b_rating_resliced.nii,16,-0.1879744,0.03899784
Sandner2021_rating_resliced.nii,38,-1.176565,-0.4915951
SidorenkoUnpublished_rating_resliced.nii,139,-1.614138,-0.9419729
SokolowskiUnpublished_rating_resliced.nii,83,0.3598698,-0.1195379
Steward2021_rating_resliced.nii,92,0.0523575,0.1441022
VanReekum2021_rating_resliced.nii,62,-0.8409787,-0.5927097
VanReekumUnpublished_rating_resliced.nii,20,-0.3497981,-0.1400884
WessaUnpublished_rating_resliced.nii,89,-0.7880176,0.4696453
