imageNames,numSigEffects,numSigTau,average_effect,lower_limit,upper_limit
BenzaitUnpublished_amy_resliced.nii,176874,178853,-0.272802300961344,-0.687009990215302,0.0833723172545433
Brehl2020_amy_resliced.nii,178060,177908,-0.280384050402872,-0.686293005943298,0.0568629391491413
Burghart+SchmidtUnpublished_amy_resliced.nii,178179,180063,-0.268590865836728,-0.680740237236023,0.080040879547596
Diers2021_amy_resliced.nii,176782,178758,-0.270492301120678,-0.673427224159241,0.0814284086227417
Doerfel2014a_distancing_amy_resliced.nii,176411,178695,-0.272348575875861,-0.682880997657776,0.0822148472070694
Doerfel2014b_reinterpretation_amy_resliced.nii,176401,178522,-0.270918170660438,-0.683001577854156,0.076084665954113
GaertnerDiersUnpublished_amy_resliced.nii,176371,178668,-0.268688382731561,-0.672980844974518,0.0819290205836296
Gianaros2020-AHAB-II_amy_resliced.nii,177267,179007,-0.275066328817881,-0.683951020240784,0.0844375193119049
Gianaros2020-PIP_amy_resliced.nii,175839,178496,-0.273141141878558,-0.681382477283478,0.0743290632963181
Glosemeyer2020_amy_resliced.nii,178410,180601,-0.268726459077258,-0.679350972175598,0.080040879547596
Guendelman&DziobekUnpublished_amy_resliced.nii,178657,178502,-0.281766307647333,-0.696716487407684,0.0776727348566055
HunekeUnpublished_amy_resliced.nii,176992,178927,-0.272852437891619,-0.683552443981171,0.0774255320429802
Jentsch2019_amy_resliced.nii,176739,179025,-0.27363304882158,-0.687652051448822,0.086899921298027
KimUnpublished_amy_resliced.nii,176692,178465,-0.273205047401237,-0.679265677928925,0.0752847418189049
LaBarUnpublished_amy_resliced.nii,178374,180420,-0.273778793089261,-0.684641778469086,0.080040879547596
MarinMorales2021_amy_resliced.nii,176507,178404,-0.271992281423126,-0.67940753698349,0.0758078098297119
MinUnpublished_amy_resliced.nii,177327,179285,-0.275459420031697,-0.689403295516968,0.080040879547596
Morawetz2016a_amy_resliced.nii,178563,180440,-0.273962640713744,-0.690309166908264,0.080040879547596
Morawetz2019_amy_resliced.nii,178832,180737,-0.275173224078762,-0.691435277462006,0.080040879547596
Morawetz2020_amy_resliced.nii,178925,180748,-0.275182378297189,-0.690800666809082,0.080040879547596
Morawetz2021_amy_resliced.nii,178808,180769,-0.275214963725224,-0.691736578941345,0.080040879547596
MuellerPinzlerUnpublished_amy_resliced.nii,178044,180160,-0.268041931321789,-0.677981972694397,0.084692470729351
MulejBratec2015_amy_resliced.nii,176599,178416,-0.27311728862925,-0.677264392375946,0.082587257027626
NetaUnpublished_amy_resliced.nii,176192,178557,-0.269274306381174,-0.680325746536255,0.091171957552433
Paschke2016_amy_resliced.nii,177432,179199,-0.269086883421779,-0.672718226909637,0.0720399245619774
PowersUnpublished_amy_resliced.nii,176398,178412,-0.272088052813449,-0.684012711048126,0.0788889676332474
Rehbein2021a_amy_resliced.nii,178124,180076,-0.270108169364202,-0.6841921210289,0.080040879547596
Rehbein2021b_amy_resliced.nii,178761,180462,-0.269391144830904,-0.671099722385406,0.080040879547596
Sandner2021_amy_resliced.nii,176283,178358,-0.270383110886637,-0.685290992259979,0.0766295418143272
SidorenkoUnpublished_amy_resliced.nii,175541,146612,-0.245034752016526,-0.675127804279327,0.098080188035965
SokolowskiUnpublished_amy_resliced.nii,178351,180643,-0.269252073917907,-0.677955806255341,0.080040879547596
Steward2021_amy_resliced.nii,178236,178355,-0.276072285139654,-0.68485951423645,0.0704092979431152
VanReekum2021_amy_resliced.nii,177937,180296,-0.272143336886624,-0.690040469169617,0.0781092196702957
VanReekumUnpublished_amy_resliced.nii,177693,179785,-0.27134064436709,-0.68352609872818,0.0796965286135674
WessaUnpublished_amy_resliced.nii,175972,178357,-0.270157742069946,-0.675149500370026,0.0948815494775772
