imageNames,numSigEffects,numSigTau,average_effect,lower_limit,upper_limit
Brehl2020_rating_resliced.nii,587,0,-0.11195952656326,-0.155277162790298,-0.0927689373493195
Burghart+SchmidtUnpublished_rating_resliced.nii,141,0,-0.111185457610658,-0.134941101074219,-0.0953762233257294
Gaebler2014_rating_resliced.nii,51,0,-0.114302080273628,-0.130425557494164,-0.100392289459705
Gianaros2020-AHAB-II_rating_resliced.nii,16,0,-0.12400293648243,-0.134792357683182,-0.114212855696678
Gianaros2020-PIP_rating_resliced.nii,0,0,NaN,NaN,NaN
Glosemeyer2020_rating_resliced.nii,78,0,-0.114636568280009,-0.136249676346779,-0.0988997966051102
Guendelman&DziobekUnpublished_rating_resliced.nii,10,0,-0.118473160598013,-0.125708937644958,-0.111930094659328
HunekeUnpublished_rating_resliced.nii,174,0,-0.111614611753494,-0.138120621442795,-0.093850664794445
Jentsch2019_rating_resliced.nii,162,0,-0.111242126511491,-0.138206303119659,-0.0945251286029816
KimUnpublished_rating_resliced.nii,35,0,-0.112854550507936,-0.126381561160088,-0.103720270097256
LaBarUnpublished_rating_resliced.nii,78,0,-0.113798736558332,-0.131451338529587,-0.0994015783071518
MarinMorales2021_rating_resliced.nii,68,0,-0.114131939682094,-0.136801436543465,-0.0992731750011444
MinUnpublished_rating_resliced.nii,95,0,-0.112564756515178,-0.134941101074219,-0.0999502539634705
Morawetz2016a_rating_resliced.nii,86,0,-0.112921225173133,-0.134941101074219,-0.0978972315788269
Morawetz2019_rating_resliced.nii,66,0,-0.113870116495169,-0.134941101074219,-0.0996968671679497
Morawetz2020_rating_resliced.nii,93,0,-0.112826933274451,-0.134941101074219,-0.0983355119824409
Morawetz2021_rating_resliced.nii,105,0,-0.112768925726414,-0.134941101074219,-0.0978648066520691
MuellerPinzlerUnpublished_rating_resliced.nii,88,0,-0.112102053973867,-0.134729787707329,-0.0977211073040962
MulejBratec2015_rating_resliced.nii,120,0,-0.113259774296224,-0.134377136826515,-0.0963012874126434
NetaUnpublished_rating_resliced.nii,33,0,-0.120694241952151,-0.135178446769714,-0.108692161738873
Paschke2016_rating_resliced.nii,124,0,-0.116071570816079,-0.142966002225876,-0.0997614711523056
PowersUnpublished_rating_resliced.nii,19,0,-0.114302342428881,-0.123502932488918,-0.107166454195976
Rehbein2021a_rating_resliced.nii,97,0,-0.111793054267764,-0.134941101074219,-0.0970391780138016
Rehbein2021b_rating_resliced.nii,82,0,-0.112000823020935,-0.134941101074219,-0.0980878323316574
Sandner2021_rating_resliced.nii,7,0,-0.119545833518108,-0.124160885810852,-0.115994870662689
SidorenkoUnpublished_rating_resliced.nii,62,0,-0.120479718094966,-0.144592568278313,-0.104179076850414
SokolowskiUnpublished_rating_resliced.nii,99,0,-0.1139903511776,-0.134941101074219,-0.0995818376541138
Steward2021_rating_resliced.nii,8,0,-0.122293666005135,-0.127933770418167,-0.116000704467297
VanReekum2021_rating_resliced.nii,9,0,-0.121583794243634,-0.12713223695755,-0.111939586699009
VanReekumUnpublished_rating_resliced.nii,97,0,-0.113342550583184,-0.137983977794647,-0.0974622517824173
WessaUnpublished_rating_resliced.nii,7,0,-0.123002074658871,-0.127041786909103,-0.119961991906166
