studyName,sampleSize,num_significant_fdr05
BenzaitUnpublished_quest_ERQ_Reappraisal_resliced.nii  ,17,0
Berboth2021_quest_erq_resliced.nii                     ,25,0
Brehl2020_quest_ERQ_resliced.nii                       ,242,0
Burghart+SchmidtUnpublished_quest_ERQ_resliced.nii     ,31,0
Diers2021_quest_ERQ_resliced.nii                       ,39,0
Doerfel2014a_distancing_quest_ERQ_resliced.nii         ,16,0
Doerfel2014b_reinterpretation_quest_ERQ_resliced.nii   ,19,9
Gaebler2014_quest_ERQ_resliced.nii                     ,23,0
GaertnerDiersUnpublished_quest_ERQ_resliced.nii        ,37,0
Gianaros2020-AHAB-II_erq_quest_resliced.nii            ,163,0
Gianaros2020-PIP_erq_quest_resliced.nii                ,176,2
Glosemeyer2020_quest_ERQtotal_resliced.nii             ,15,0
Guendelman&DziobekUnpublished_quest_CERQ_resliced.nii  ,55,0
HofhanselUnpublished_quest_ERQreapp_resliced.nii       ,16,0
HunekeUnpublished_quest_ERQ_resliced.nii               ,18,0
Jentsch2019_quest_ERQ_resliced.nii                     ,30,0
KimUnpublished_quest_ERQ_resliced.nii                  ,33,0
LaBarUnpublished_quest_ERQ_resliced.nii                ,53,0
MarinMorales2021_quest_CERQ_resliced.nii               ,29,0
MinUnpublished_quest_ERQ-FR_resliced.nii               ,105,0
MinUnpublished_quest_ERQ-SE_resliced.nii               ,105,0
Morawetz2016a_quest_ERQ_resliced.nii                   ,23,0
Morawetz2016b_IAPS_quest_ERQ_resliced.nii              ,59,0
Morawetz2016b_MOVIE_quest_ERQ_resliced.nii             ,59,0
Morawetz2019_quest_ERQ_resliced.nii                    ,29,0
Morawetz2020_quest_ERQ_resliced.nii                    ,35,0
Morawetz2021_quest_ERQ_resliced.nii                    ,37,0
MuellerPinzlerUnpublished_quest_ERQ_resliced.nii       ,15,0
MulejBratec2015_quest_ERQ_resliced.nii                 ,20,0
NetaUnpublished_quest_ERQ_resliced.nii                 ,110,0
Paschke2016_quest_ERQ_resliced.nii                     ,115,0
PowersUnpublished_quest_ERQ_resliced.nii               ,40,0
Rehbein2021a_quest_ERQ_resliced.nii                    ,15,0
Rehbein2021b_quest_ERQ_resliced.nii                    ,16,0
Sandner2021_quest_CERQ_resliced.nii                    ,38,22
SidorenkoUnpublished_quest_ERQ_resliced.nii            ,139,0
SokolowskiUnpublished_quest_CERQ_pos_reapp_resliced.nii,83,0
Steward2021_quest_ERQ_resliced.nii                     ,92,0
VanReekum2021_quest_CERQ_resliced.nii                  ,59,0
VanReekumUnpublished_quest_CERQ_resliced.nii           ,19,0
WessaUnpublished_ERQ_resliced_quest.nii                ,89,0
